sample	chromosome	start	end	num.mark	log2
C3L-00017	16	30000.5	2870000.5	140	-0.2424
C3L-00017	16	2890000.5	9390000.5	323	0.2124
C3L-00017	16	9410000.5	90090000.5	3188	0.0059
C3L-00017	17	150000.5	34830000.5	1444	-0.2249
C3L-00017	17	34850000.5	38750000.5	164	0.0016
C3L-00017	17	38770000.5	40270000.5	75	0.2485
C3L-00017	17	40290000.5	62390000.5	1060	-0.2024
C3L-00017	17	62410000.5	83210000.5	1026	-0.0242
C3L-00017	18	70000.5	80250000.5	3674	-0.0088
C3L-00017	19	270000.5	58590000.5	2653	0.0235
C3L-00017	20	70000.5	64270000.5	3034	0.0027
C3L-00017	21	5230000.5	46670000.5	1650	-0.0785
C3L-00017	22	10690000.5	20730000.5	217	-0.1713
C3L-00017	22	20750000.5	21810000.5	32	0.1306
C3L-00017	22	21830000.5	29630000.5	381	-0.2246
C3L-00017	22	29650000.5	31950000.5	116	-0.0747
C3L-00017	22	31970000.5	32290000.5	17	-0.2962
C3L-00017	22	32310000.5	32630000.5	17	0.5176
C3L-00017	22	32650000.5	33630000.5	50	-0.2247
C3L-00017	22	33650000.5	34230000.5	30	0.0489
C3L-00017	22	34250000.5	40950000.5	336	-0.2215
C3L-00017	22	40970000.5	41550000.5	30	0.1311
C3L-00017	22	41570000.5	47590000.5	302	-0.2434
C3L-00017	22	47610000.5	49590000.5	98	-0.4044
C3L-00017	22	49630000.5	50750000.5	57	-0.2563
C3L-00017	23	250000.5	2870000.5	121	0.3492
C3L-00017	23	2890000.5	155710000.5	7066	0.0252
C3L-00017	23	155730000.5	156010000.5	15	0.394
C3L-00017	24	2790000.5	56870000.5	612	0.8754
C3N-01719	1	830000.5	248930000.5	10850	0.0281
C3N-01719	2	30000.5	242110000.5	11539	0.0286
C3N-01719	3	30000.5	198130000.5	9698	0.0387
C3N-01719	4	50000.5	190010000.5	9281	0.0079
C3N-01719	5	30000.5	181290000.5	8657	0.0384
C3N-01719	6	170000.5	170590000.5	8319	0.02
C3N-01719	7	50000.5	159310000.5	7463	0.0283
C3N-01719	8	250000.5	145070000.5	6956	0.0537
C3N-01719	9	210000.5	33670000.5	1659	0.0118
C3N-01719	9	33690000.5	35970000.5	115	0.3633
C3N-01719	9	35990000.5	138170000.5	3631	0.0018
C3N-01719	10	70000.5	39090000.5	1918	0.0327
C3N-01719	10	39110000.5	39410000.5	16	-0.9392
C3N-01719	10	39430000.5	133610000.5	4424	0.0149
C3N-01719	11	210000.5	135050000.5	6408	0.0241
C3N-01719	12	50000.5	133250000.5	6439	0.0218
C3N-01719	13	18210000.5	114350000.5	4739	0.0417
C3N-01719	14	16090000.5	106870000.5	4338	0.041
C3N-01719	15	17030000.5	101850000.5	3837	-0.0101
C3N-01719	16	30000.5	90090000.5	3651	0.003
C3N-01719	17	150000.5	26670000.5	1051	-0.0378
C3N-01719	17	26690000.5	26850000.5	8	-1.0538
C3N-01719	17	26870000.5	83210000.5	2710	0.0347
C3N-01719	18	70000.5	80250000.5	3674	0.0043
C3N-01719	19	270000.5	30570000.5	1276	0.0173
C3N-01719	19	30590000.5	46290000.5	773	0.0933
C3N-01719	19	46310000.5	58590000.5	604	-0.038
C3N-01719	20	70000.5	64270000.5	3034	0.0124
C3N-01719	21	5230000.5	46670000.5	1650	-7e-04
C3N-01719	22	10690000.5	50750000.5	1683	-0.0179
C3N-01719	23	250000.5	156010000.5	7202	0.0014
C3N-01719	24	2790000.5	56870000.5	612	-0.0086
C3N-01900	1	830000.5	248930000.5	10850	-0.0077
C3N-01900	2	30000.5	88930000.5	4367	0.0136
C3N-01900	2	88950000.5	94550000.5	17	-0.8064
C3N-01900	2	94610000.5	178590000.5	3998	0.0186
C3N-01900	2	178610000.5	178790000.5	10	-1.2419
C3N-01900	2	178810000.5	242110000.5	3147	0.0113
C3N-01900	3	30000.5	198130000.5	9698	0.0059
C3N-01900	4	50000.5	190010000.5	9281	0.0208
C3N-01900	5	30000.5	181290000.5	8657	0.0049
C3N-01900	6	170000.5	170590000.5	8319	-0.0031
C3N-01900	7	50000.5	61010000.5	2843	-0.0012
C3N-01900	7	61030000.5	61770000.5	5	-1.5506
C3N-01900	7	61830000.5	118050000.5	2600	0.0269
C3N-01900	7	118070000.5	120730000.5	134	0.2648
C3N-01900	7	120750000.5	159310000.5	1881	-0.0287
C3N-01900	8	250000.5	145070000.5	6956	0.0286
C3N-01900	9	210000.5	138170000.5	5405	-0.006
C3N-01900	10	70000.5	133610000.5	6358	-0.0063
C3N-01900	11	210000.5	37090000.5	1824	-0.0222
C3N-01900	11	37110000.5	42410000.5	262	0.1876
C3N-01900	11	42430000.5	135050000.5	4322	-0.024
C3N-01900	12	50000.5	133250000.5	6439	-0.016
C3N-01900	13	18210000.5	53310000.5	1718	-0.0103
C3N-01900	13	53330000.5	107610000.5	2698	0.0865
C3N-01900	13	107630000.5	114350000.5	323	-0.0704
C3N-01900	14	16090000.5	106870000.5	4338	-0.0073
C3N-01900	15	17030000.5	101850000.5	3837	-0.0244
C3N-01900	16	30000.5	59090000.5	2131	-0.0129
C3N-01900	16	59110000.5	64830000.5	287	0.1619
C3N-01900	16	64850000.5	90090000.5	1233	0.0145
C3N-01900	17	150000.5	83210000.5	3769	-0.0166
C3N-01900	18	70000.5	80250000.5	3674	-0.0147
C3N-01900	19	270000.5	42890000.5	1885	0.0058
C3N-01900	19	42910000.5	43130000.5	12	-0.5702
C3N-01900	19	43150000.5	58590000.5	756	-0.0486
C3N-01900	20	70000.5	64270000.5	3034	-0.0085
C3N-01900	21	5230000.5	46670000.5	1650	-0.0097
C3N-01900	22	10690000.5	50750000.5	1683	-0.0354
C3N-01900	23	250000.5	156010000.5	7202	-0.0088
C3N-01900	24	2790000.5	56870000.5	612	-0.0039
C3N-01907	1	830000.5	107150000.5	5225	0.0038
C3N-01907	1	107170000.5	162910000.5	1388	-0.1144
C3N-01907	1	162930000.5	185890000.5	1144	-0.0211
C3N-01907	1	185910000.5	186390000.5	25	-0.764
C3N-01907	1	186410000.5	186970000.5	29	0.0152
C3N-01907	1	186990000.5	196190000.5	461	0.1723
C3N-01907	1	196210000.5	197130000.5	47	-0.434
C3N-01907	1	197150000.5	248930000.5	2531	-0.0225
C3N-01907	2	30000.5	178570000.5	8381	0.0301
C3N-01907	2	178590000.5	178790000.5	11	-1.604
C3N-01907	2	178810000.5	242110000.5	3147	0.0249
C3N-01907	3	30000.5	70590000.5	3514	0.0183
C3N-01907	3	70610000.5	70790000.5	10	1.3383
C3N-01907	3	70810000.5	75790000.5	249	0.0066
C3N-01907	3	75810000.5	96590000.5	886	0.2009
C3N-01907	3	96630000.5	166130000.5	3455	0.0156
C3N-01907	3	166150000.5	166230000.5	5	2.458
C3N-01907	3	166250000.5	198130000.5	1579	-0.0091
C3N-01907	4	50000.5	190010000.5	9281	0.0414
C3N-01907	5	30000.5	17870000.5	884	0.0183
C3N-01907	5	17890000.5	30910000.5	637	0.2255
C3N-01907	5	30930000.5	181290000.5	7136	0.0154
C3N-01907	6	170000.5	170590000.5	8319	0.0091
C3N-01907	7	50000.5	159310000.5	7463	0.0179
C3N-01907	8	250000.5	145070000.5	6956	0.0416
C3N-01907	9	210000.5	138170000.5	5405	0.0199
C3N-01907	10	70000.5	133610000.5	6358	0.0129
C3N-01907	11	210000.5	135050000.5	6408	0.0051
C3N-01907	12	50000.5	82490000.5	3918	-0.0167
C3N-01907	12	82510000.5	87170000.5	232	0.2438
C3N-01907	12	87190000.5	133250000.5	2289	-0.0317
C3N-01907	13	18210000.5	53050000.5	1705	-0.0227
C3N-01907	13	53070000.5	94970000.5	2081	0.1755
C3N-01907	13	94990000.5	114350000.5	953	-0.0065
C3N-01907	14	16090000.5	27470000.5	388	-0.0142
C3N-01907	14	27490000.5	28650000.5	59	0.5604
C3N-01907	14	28670000.5	106870000.5	3891	0.0181
C3N-01907	15	17030000.5	101850000.5	3837	-0.0176
C3N-01907	16	30000.5	90090000.5	3651	-0.0048
C3N-01907	17	150000.5	83210000.5	3769	-0.0252
C3N-01907	18	70000.5	80250000.5	3674	0.0532
C3N-01907	19	270000.5	24170000.5	1133	-0.0231
C3N-01907	19	27650000.5	31870000.5	208	0.198
C3N-01907	19	31890000.5	54690000.5	1118	-0.0774
C3N-01907	19	54710000.5	54850000.5	8	-0.9009
C3N-01907	19	54870000.5	58590000.5	186	-0.1359
C3N-01907	20	70000.5	64270000.5	3034	0.0117
C3N-01907	21	5230000.5	46670000.5	1650	0.0102
C3N-01907	22	10690000.5	50750000.5	1683	-0.0425
C3N-01907	23	250000.5	156010000.5	7202	0.0419
C3N-01907	24	2790000.5	56870000.5	612	0.1919
C3N-01997	1	830000.5	112370000.5	5473	-0.0176
C3N-01997	1	112390000.5	248930000.5	5377	0.051
C3N-01997	2	30000.5	49970000.5	2487	-0.0236
C3N-01997	2	49990000.5	178570000.5	5894	0.0457
C3N-01997	2	178590000.5	178670000.5	5	0.8701
C3N-01997	2	178690000.5	242110000.5	3153	0.0501
C3N-01997	3	30000.5	2330000.5	116	-0.0247
C3N-01997	3	2350000.5	22050000.5	981	0.167
C3N-01997	3	22070000.5	29830000.5	385	-0.0896
C3N-01997	3	29850000.5	35670000.5	292	0.0789
C3N-01997	3	35690000.5	43070000.5	369	0.205
C3N-01997	3	43090000.5	93730000.5	2375	-0.089
C3N-01997	3	93750000.5	198130000.5	5180	0.0383
C3N-01997	4	50000.5	64690000.5	3059	-0.0233
C3N-01997	4	64710000.5	90750000.5	1292	-0.0789
C3N-01997	4	90770000.5	101790000.5	551	0.0063
C3N-01997	4	101810000.5	190010000.5	4379	-0.0836
C3N-01997	5	30000.5	57850000.5	2637	-0.0216
C3N-01997	5	57870000.5	61070000.5	160	0.0898
C3N-01997	5	61090000.5	181290000.5	5860	-0.0834
C3N-01997	6	170000.5	10390000.5	510	-0.1133
C3N-01997	6	10410000.5	32470000.5	1077	-0.0085
C3N-01997	6	32490000.5	32570000.5	5	0.5616
C3N-01997	6	32590000.5	36430000.5	192	0.0216
C3N-01997	6	36450000.5	41070000.5	229	0.1442
C3N-01997	6	41090000.5	43310000.5	110	0.2967
C3N-01997	6	43330000.5	44150000.5	42	0.5226
C3N-01997	6	44170000.5	45350000.5	60	0.3337
C3N-01997	6	45370000.5	46670000.5	65	0.0439
C3N-01997	6	46690000.5	48730000.5	103	0.2358
C3N-01997	6	48750000.5	51770000.5	150	0.0963
C3N-01997	6	51790000.5	56910000.5	256	0.2527
C3N-01997	6	56930000.5	64130000.5	235	0.1297
C3N-01997	6	64150000.5	170590000.5	5285	-0.02
C3N-01997	7	50000.5	74130000.5	3343	0.102
C3N-01997	7	74150000.5	80230000.5	242	0.1833
C3N-01997	7	80250000.5	93310000.5	651	-0.0192
C3N-01997	7	93330000.5	101570000.5	408	0.2169
C3N-01997	7	101590000.5	106790000.5	242	0.0938
C3N-01997	7	106810000.5	159310000.5	2577	-0.0029
C3N-01997	8	250000.5	42110000.5	1995	-0.1233
C3N-01997	8	42130000.5	65330000.5	1002	-0.009
C3N-01997	8	65350000.5	86070000.5	1023	0.0486
C3N-01997	8	86090000.5	95310000.5	462	0.0895
C3N-01997	8	95330000.5	97110000.5	89	-0.0054
C3N-01997	8	97130000.5	145070000.5	2385	0.1187
C3N-01997	9	210000.5	22290000.5	1096	-0.0957
C3N-01997	9	22310000.5	27910000.5	280	0.0445
C3N-01997	9	27930000.5	62870000.5	563	-0.0718
C3N-01997	9	63730000.5	138170000.5	3466	0.0378
C3N-01997	10	70000.5	38770000.5	1908	-0.1397
C3N-01997	10	38890000.5	39570000.5	34	-0.3394
C3N-01997	10	41910000.5	44850000.5	129	-0.1126
C3N-01997	10	44870000.5	56910000.5	504	-0.0414
C3N-01997	10	56930000.5	65690000.5	437	0.0455
C3N-01997	10	65710000.5	75190000.5	468	0.1298
C3N-01997	10	75210000.5	75850000.5	33	0.0756
C3N-01997	10	75870000.5	76790000.5	47	-0.0879
C3N-01997	10	76810000.5	83710000.5	331	0.0739
C3N-01997	10	83730000.5	90550000.5	324	-0.1622
C3N-01997	10	90570000.5	105430000.5	741	0.006
C3N-01997	10	105450000.5	107610000.5	108	-0.1367
C3N-01997	10	107630000.5	108950000.5	67	-0.0294
C3N-01997	10	108970000.5	128770000.5	987	0.0977
C3N-01997	10	128790000.5	130250000.5	74	-0.0138
C3N-01997	10	130270000.5	133610000.5	166	-0.1728
C3N-01997	11	210000.5	135050000.5	6408	0.0346
C3N-01997	12	50000.5	80570000.5	3822	0.0557
C3N-01997	12	80590000.5	125290000.5	2225	-7e-04
C3N-01997	12	125310000.5	132750000.5	367	-0.0672
C3N-01997	12	132770000.5	133250000.5	25	0.0816
C3N-01997	13	18210000.5	114350000.5	4739	0.04
C3N-01997	14	16090000.5	106870000.5	4338	0.0444
C3N-01997	15	17030000.5	19870000.5	5	-0.5043
C3N-01997	15	19890000.5	43510000.5	966	-0.0112
C3N-01997	15	43530000.5	43770000.5	7	0.4311
C3N-01997	15	43790000.5	101850000.5	2859	-0.0066
C3N-01997	16	30000.5	65930000.5	2473	0.0377
C3N-01997	16	65950000.5	76590000.5	507	0.0923
C3N-01997	16	76610000.5	90090000.5	671	0.0225
C3N-01997	17	150000.5	3050000.5	144	-0.1451
C3N-01997	17	3070000.5	8850000.5	289	0.0108
C3N-01997	17	8870000.5	27250000.5	639	-0.085
C3N-01997	17	27270000.5	33030000.5	283	0.0164
C3N-01997	17	33050000.5	36210000.5	156	-0.0854
C3N-01997	17	36450000.5	40070000.5	163	0.0373
C3N-01997	17	40090000.5	83210000.5	2095	-0.0763
C3N-01997	18	70000.5	15190000.5	728	0.0634
C3N-01997	18	20970000.5	26090000.5	255	0.4748
C3N-01997	18	26110000.5	28990000.5	145	-0.0375
C3N-01997	18	29010000.5	30370000.5	69	0.623
C3N-01997	18	30390000.5	34150000.5	187	0.4757
C3N-01997	18	34170000.5	34510000.5	18	0.3427
C3N-01997	18	34530000.5	35350000.5	42	-0.0526
C3N-01997	18	35370000.5	38330000.5	149	0.2547
C3N-01997	18	38350000.5	40430000.5	104	-0.202
C3N-01997	18	40450000.5	41510000.5	54	0.564
C3N-01997	18	41530000.5	42930000.5	71	0.2538
C3N-01997	18	42950000.5	61130000.5	900	-0.1676
C3N-01997	18	61150000.5	75010000.5	692	-0.092
C3N-01997	18	75030000.5	80250000.5	260	-0.1473
C3N-01997	19	270000.5	20030000.5	979	0.0264
C3N-01997	19	20050000.5	31830000.5	360	-0.0518
C3N-01997	19	31850000.5	58590000.5	1314	0.0055
C3N-01997	20	70000.5	910000.5	43	-0.0637
C3N-01997	20	930000.5	2850000.5	96	0.1757
C3N-01997	20	2870000.5	8070000.5	260	-0.0984
C3N-01997	20	8090000.5	13550000.5	273	0.2187
C3N-01997	20	13570000.5	14970000.5	71	0.4837
C3N-01997	20	14990000.5	18330000.5	166	-0.0277
C3N-01997	20	18350000.5	26350000.5	386	0.1131
C3N-01997	20	26370000.5	31070000.5	92	-0.0228
C3N-01997	20	31170000.5	34730000.5	176	0.1101
C3N-01997	20	34750000.5	64270000.5	1471	-0.0145
C3N-01997	21	5230000.5	9550000.5	15	0.2529
C3N-01997	21	9570000.5	46670000.5	1635	-0.0817
C3N-01997	22	10690000.5	50750000.5	1683	-0.0913
C3N-01997	23	250000.5	98450000.5	4430	-0.076
C3N-01997	23	98470000.5	156010000.5	2772	0.0406
C3N-01997	24	2790000.5	56870000.5	612	-0.0192
C3N-01998	1	830000.5	1170000.5	17	-0.214
C3N-01998	1	1190000.5	1670000.5	25	0.0499
C3N-01998	1	1690000.5	5850000.5	198	-0.1744
C3N-01998	1	5870000.5	17410000.5	540	-0.083
C3N-01998	1	17430000.5	19070000.5	83	-0.1661
C3N-01998	1	19090000.5	19170000.5	5	0.4676
C3N-01998	1	19190000.5	31570000.5	615	-0.0863
C3N-01998	1	31590000.5	121430000.5	4375	0.0132
C3N-01998	1	121450000.5	145430000.5	31	-0.1369
C3N-01998	1	145590000.5	153650000.5	266	0.1271
C3N-01998	1	153670000.5	157030000.5	169	0.2242
C3N-01998	1	157050000.5	248930000.5	4526	0.1151
C3N-01998	2	30000.5	23630000.5	1177	-0.0226
C3N-01998	2	23650000.5	27710000.5	203	0.055
C3N-01998	2	27730000.5	32130000.5	220	-0.0366
C3N-01998	2	32150000.5	32550000.5	19	0.2297
C3N-01998	2	32570000.5	53690000.5	1053	0.0059
C3N-01998	2	53710000.5	55910000.5	110	0.1043
C3N-01998	2	55930000.5	60690000.5	238	-0.0334
C3N-01998	2	60710000.5	61510000.5	41	0.159
C3N-01998	2	61530000.5	65390000.5	191	0.0127
C3N-01998	2	65410000.5	68010000.5	130	-0.0741
C3N-01998	2	68030000.5	74890000.5	342	0.039
C3N-01998	2	74910000.5	84410000.5	473	-0.0248
C3N-01998	2	84430000.5	89010000.5	174	0.0648
C3N-01998	2	89150000.5	94550000.5	13	-0.2709
C3N-01998	2	94610000.5	96970000.5	96	0.0205
C3N-01998	2	96990000.5	97550000.5	11	0.3929
C3N-01998	2	97630000.5	169130000.5	3422	0.0058
C3N-01998	2	169150000.5	169310000.5	9	0.397
C3N-01998	2	169330000.5	178610000.5	461	0.0342
C3N-01998	2	178630000.5	178830000.5	11	0.4472
C3N-01998	2	178850000.5	242110000.5	3145	0.0118
C3N-01998	3	30000.5	9650000.5	479	-0.0115
C3N-01998	3	9670000.5	10190000.5	27	0.212
C3N-01998	3	10210000.5	49510000.5	1957	0.0035
C3N-01998	3	49530000.5	52530000.5	150	-0.0848
C3N-01998	3	52550000.5	52810000.5	14	0.178
C3N-01998	3	52830000.5	89450000.5	1825	-0.1097
C3N-01998	3	89470000.5	90550000.5	45	0.1117
C3N-01998	3	90570000.5	90670000.5	6	-0.5252
C3N-01998	3	90690000.5	93750000.5	16	-0.0192
C3N-01998	3	93770000.5	198130000.5	5179	0.1341
C3N-01998	4	50000.5	2410000.5	115	-0.0422
C3N-01998	4	2430000.5	3510000.5	55	0.0645
C3N-01998	4	3530000.5	9150000.5	275	-0.0583
C3N-01998	4	9170000.5	9390000.5	5	0.5124
C3N-01998	4	9410000.5	24770000.5	761	-0.0481
C3N-01998	4	24790000.5	48490000.5	1181	-0.0055
C3N-01998	4	48510000.5	48590000.5	5	0.4905
C3N-01998	4	48610000.5	186690000.5	6718	-0.0112
C3N-01998	4	186710000.5	190010000.5	166	-0.0815
C3N-01998	5	30000.5	1330000.5	66	0.0378
C3N-01998	5	1350000.5	6390000.5	250	-0.0465
C3N-01998	5	6410000.5	66170000.5	2734	0.0188
C3N-01998	5	66190000.5	87290000.5	962	-0.0829
C3N-01998	5	87310000.5	181290000.5	4645	0.0192
C3N-01998	6	170000.5	750000.5	30	-0.0925
C3N-01998	6	770000.5	990000.5	12	-0.3462
C3N-01998	6	1010000.5	3990000.5	150	-0.1228
C3N-01998	6	4010000.5	4150000.5	8	0.1704
C3N-01998	6	4170000.5	6870000.5	134	-0.0952
C3N-01998	6	6890000.5	14030000.5	358	-0.0329
C3N-01998	6	14050000.5	17410000.5	167	-0.1097
C3N-01998	6	17430000.5	18390000.5	49	0.0735
C3N-01998	6	18410000.5	24110000.5	283	-0.0903
C3N-01998	6	24130000.5	117590000.5	4496	-0.0297
C3N-01998	6	117610000.5	170590000.5	2632	-0.0676
C3N-01998	7	50000.5	4610000.5	226	-0.004
C3N-01998	7	4630000.5	6830000.5	103	0.1206
C3N-01998	7	6850000.5	47810000.5	2031	0.0271
C3N-01998	7	47830000.5	48430000.5	31	0.1934
C3N-01998	7	48450000.5	57830000.5	440	0.0172
C3N-01998	7	58010000.5	62250000.5	26	-0.277
C3N-01998	7	62270000.5	97870000.5	1606	0.0517
C3N-01998	7	97930000.5	101350000.5	170	0.1214
C3N-01998	7	101370000.5	142010000.5	2005	0.0341
C3N-01998	7	142030000.5	142190000.5	9	0.3981
C3N-01998	7	142210000.5	153010000.5	507	0.0389
C3N-01998	7	153030000.5	159310000.5	309	-0.0306
C3N-01998	8	250000.5	5890000.5	273	-0.0412
C3N-01998	8	5910000.5	109330000.5	4904	0.0267
C3N-01998	8	109350000.5	109510000.5	9	0.4444
C3N-01998	8	109530000.5	125270000.5	787	0.0216
C3N-01998	8	125290000.5	145070000.5	983	-0.0101
C3N-01998	9	210000.5	24790000.5	1221	-0.1192
C3N-01998	9	24810000.5	33010000.5	408	-0.0118
C3N-01998	9	33030000.5	36690000.5	181	0.0836
C3N-01998	9	36710000.5	138170000.5	3595	0.0038
C3N-01998	10	70000.5	15430000.5	765	0.0017
C3N-01998	10	15450000.5	28090000.5	630	0.0576
C3N-01998	10	28110000.5	39010000.5	519	0.0128
C3N-01998	10	39030000.5	42150000.5	30	-0.3119
C3N-01998	10	42230000.5	67690000.5	1167	0.0152
C3N-01998	10	67710000.5	69410000.5	85	0.1151
C3N-01998	10	69430000.5	72990000.5	177	0.0093
C3N-01998	10	73010000.5	73770000.5	37	0.189
C3N-01998	10	73790000.5	91810000.5	868	0.0073
C3N-01998	10	91830000.5	97750000.5	297	0.0729
C3N-01998	10	97770000.5	99330000.5	79	-0.0555
C3N-01998	10	99350000.5	104670000.5	264	0.0775
C3N-01998	10	104690000.5	128130000.5	1168	0.0032
C3N-01998	10	128150000.5	133250000.5	254	-0.0615
C3N-01998	10	133270000.5	133610000.5	18	0.1058
C3N-01998	11	210000.5	10270000.5	488	0.1092
C3N-01998	11	10290000.5	18250000.5	397	0.0518
C3N-01998	11	18270000.5	18570000.5	16	0.324
C3N-01998	11	18590000.5	30870000.5	612	0.0485
C3N-01998	11	30890000.5	34250000.5	169	0.1265
C3N-01998	11	34270000.5	44150000.5	491	0.0355
C3N-01998	11	44170000.5	46530000.5	119	-0.0277
C3N-01998	11	46550000.5	47830000.5	65	0.1243
C3N-01998	11	47850000.5	107330000.5	2667	-0.004
C3N-01998	11	107350000.5	108610000.5	64	0.1215
C3N-01998	11	108630000.5	118010000.5	469	-0.0293
C3N-01998	11	118030000.5	119290000.5	64	0.1057
C3N-01998	11	119310000.5	135050000.5	787	-0.0308
C3N-01998	12	50000.5	5930000.5	294	-0.009
C3N-01998	12	5950000.5	10930000.5	242	0.1181
C3N-01998	12	10950000.5	34250000.5	1157	0.0288
C3N-01998	12	34310000.5	37410000.5	13	-0.3541
C3N-01998	12	37430000.5	55710000.5	883	0.0378
C3N-01998	12	55730000.5	57830000.5	104	0.148
C3N-01998	12	57850000.5	108490000.5	2518	0.0266
C3N-01998	12	108510000.5	113470000.5	247	0.0988
C3N-01998	12	113490000.5	120070000.5	329	0.0119
C3N-01998	12	120090000.5	125110000.5	251	0.0858
C3N-01998	12	125130000.5	132510000.5	364	-0.0432
C3N-01998	12	132530000.5	133250000.5	37	0.1037
C3N-01998	13	18210000.5	77050000.5	2898	0.0126
C3N-01998	13	77070000.5	77270000.5	11	0.3816
C3N-01998	13	77290000.5	114350000.5	1830	0.0013
C3N-01998	14	16090000.5	21850000.5	109	0.0411
C3N-01998	14	21870000.5	22410000.5	28	-0.1726
C3N-01998	14	22430000.5	24390000.5	97	0.1064
C3N-01998	14	24410000.5	30570000.5	309	-0.0109
C3N-01998	14	30590000.5	31890000.5	66	0.1207
C3N-01998	14	31910000.5	34370000.5	123	-0.0307
C3N-01998	14	34390000.5	39030000.5	233	0.0528
C3N-01998	14	39050000.5	39390000.5	18	0.2462
C3N-01998	14	39410000.5	63730000.5	1209	-0.0115
C3N-01998	14	63750000.5	64610000.5	44	0.1411
C3N-01998	14	64630000.5	67990000.5	169	-0.0191
C3N-01998	14	68010000.5	73270000.5	263	-0.0899
C3N-01998	14	73290000.5	75130000.5	93	0.0028
C3N-01998	14	75150000.5	105950000.5	1531	-0.1096
C3N-01998	14	105970000.5	106290000.5	17	-0.3386
C3N-01998	14	106310000.5	106690000.5	20	-0.1048
C3N-01998	14	106710000.5	106870000.5	9	0.0951
C3N-01998	15	17030000.5	40150000.5	803	0.0087
C3N-01998	15	40170000.5	45690000.5	271	0.113
C3N-01998	15	45710000.5	48010000.5	115	-0.046
C3N-01998	15	48030000.5	48510000.5	25	0.1874
C3N-01998	15	48530000.5	90710000.5	2069	0.0238
C3N-01998	15	90730000.5	91030000.5	16	0.2021
C3N-01998	15	91050000.5	101850000.5	538	-0.0234
C3N-01998	16	30000.5	18770000.5	843	0.0262
C3N-01998	16	18790000.5	18890000.5	6	0.5212
C3N-01998	16	18910000.5	33670000.5	594	0.0441
C3N-01998	16	33690000.5	33790000.5	5	0.6114
C3N-01998	16	33810000.5	34770000.5	18	-0.2513
C3N-01998	16	34790000.5	35890000.5	29	0.0439
C3N-01998	16	36070000.5	46490000.5	13	-0.2675
C3N-01998	16	46510000.5	58810000.5	609	0.0374
C3N-01998	16	58830000.5	66470000.5	383	-0.0225
C3N-01998	16	66490000.5	76750000.5	488	0.0698
C3N-01998	16	76770000.5	89430000.5	630	-0.0313
C3N-01998	16	89450000.5	90090000.5	33	0.1329
C3N-01998	17	150000.5	26630000.5	1049	-0.0857
C3N-01998	17	26650000.5	27210000.5	21	-0.2476
C3N-01998	17	27230000.5	32770000.5	272	0.0856
C3N-01998	17	32790000.5	34910000.5	106	-0.0472
C3N-01998	17	34930000.5	51290000.5	749	0.0633
